Question Title,Topic,Difficulty,Link
"Swap 2 Numbers using XOR","Bit Manipulation","easy","https://www.geeksforgeeks.org/dsa/swap-two-numbers-without-using-temporary-variable/"
"Check if a Number is a Power of 2","Bit Manipulation","easy","https://www.geeksforgeeks.org/dsa/program-to-find-whether-a-given-number-is-power-of-2/"
"Rightmost Set Bit","Bit Manipulation","easy","https://www.geeksforgeeks.org/dsa/position-of-rightmost-set-bit/"
"Rightmost Different Bit","Bit Manipulation","easy","https://www.geeksforgeeks.org/dsa/position-rightmost-different-bit/"
"Toggle Bits in Given Range","Bit Manipulation","easy","https://www.geeksforgeeks.org/dsa/toggle-bits-given-range/"
"Single in Couples","Bit Manipulation","easy","https://www.geeksforgeeks.org/dsa/alone-in-couple/"
"Division without * / or %","Bit Manipulation","medium","https://www.geeksforgeeks.org/dsa/divide-two-integers-without-using-multiplication-division-mod-operator/"
"Count Set Bits from 1 to N","Bit Manipulation","medium","https://www.geeksforgeeks.org/dsa/count-total-set-bits-in-all-numbers-from-1-to-n-set-2/"
"Generate Subsets using Bit Manipulation","Bit Manipulation","medium","https://www.geeksforgeeks.org/dsa/backtracking-to-find-all-subsets/"
"Find Two Numbers with Odd Occurrences","Bit Manipulation","medium","https://www.geeksforgeeks.org/dsa/find-the-two-numbers-with-odd-occurences-in-an-unsorted-array/"
"Maximum Subset XOR","Bit Manipulation","hard","https://www.geeksforgeeks.org/dsa/find-maximum-subset-xor-given-set/"
"Find Middle of the Linked List","Linked List","easy","https://www.geeksforgeeks.org/dsa/write-a-c-function-to-print-the-middle-of-the-linked-list/"
"Reverse a Linked List","Linked List","easy","https://www.geeksforgeeks.org/dsa/reverse-a-linked-list/"
"Kth from End of Linked List","Linked List","easy","https://www.geeksforgeeks.org/dsa/nth-node-from-the-end-of-a-linked-list/"
"Pairwise Swap Elements of Linked List","Linked List","easy","https://www.geeksforgeeks.org/dsa/pairwise-swap-elements-of-a-given-linked-list/"
"Sort a linked list of 0s 1s and 2s","Linked List","medium","https://www.geeksforgeeks.org/dsa/sort-linked-list-0s-1s-2s-changing-links/"
